type	latitude	longitude	name	desc
T	37.543267846	44.596121235	Turkey	
T	37.150726413	43.474806713		
T	37.140559924	42.278742926		
T	37.101583747	40.946760489		
T	36.839290837	39.135587355		
T	36.667850723	37.614004227		
T	36.968678838	36.089828545		
T	36.564470071	35.437297595		
T	36.602894816	34.038413321		
T	36.178437673	32.779469416		
T	36.712856702	31.339050368		
T	36.280549001	30.068060845		
T	36.659578331	28.674017622		
T	36.823845208	28.086321785		
T	37.218913017	27.215378495		
T	37.833325520	26.905101575		
T	38.524801490	26.401458381		
T	39.183050837	26.304686136		
T	39.569648420	26.285981858		
T	40.386274623	26.660113285		
T	40.384248707	27.675360677		
T	40.322134439	28.754880539		
T	40.382926389	29.191230584		
T	40.655331968	29.115835295		
T	40.818958385	29.053349194		
T	41.065805771	29.060213795		
T	41.126306016	29.940207246		
T	40.962649011	30.911231175		
T	41.340517090	31.534719480		
T	41.711112789	32.391753661		
T	41.849378894	33.679735576		
T	41.671711749	35.254423776		
T	41.368621753	36.281633445		
T	40.947429111	37.495547902		
T	40.885336716	38.269747768		
T	40.947744501	39.113228017		
T	40.922970979	40.011852839		
T	41.066860130	40.685512627		
T	41.424360712	41.304623763		
T	41.512459123	41.939326987		
T	41.536132272	42.706312771		
T	41.005257780	43.368700390		
T	40.522821921	43.784633407		
T	39.935819664	43.908390330		
T	39.799389972	44.595706997		
T	39.346048439	44.095444985		
T	38.816786386	44.220593203		
T	38.339233078	44.350925378		
T	37.981487881	44.300476068		
T	37.543267846	44.596121235		
